Time,PV,SP,OP,Error
184,-0.85546,-0.93421,0.14778,0.26069
185,-0.82181,-0.7981,0.21093,0.37604
186,-0.62458,-0.68364,0.22626,0.18836
187,-0.54453,-0.63879,0.31234,0.11015
188,-0.73364,-0.56145,0.43865,0.5266
189,-0.33453,-0.55372,0.34105,-0.13621
190,-0.41227,-0.5661,0.22047,-0.020849
191,-0.29973,-0.59548,0.090355,-0.24765
192,-0.079291,-0.64188,-0.049292,-0.67778
193,-0.14427,-0.75633,-0.2904,-0.71296
194,-0.059568,-0.97132,-0.7267,-1.1275
195,0.25601,-1.2466,-1.1381,-2.0073
196,-0.072328,-1.4848,-1.5878,-1.7551
197,0.22352,-1.6859,-2.2824,-2.5078
198,-1.7024,-1.8823,-2.6766,0.48946
199,-1.7917,-2.0447,-2.4489,0.43472
200,-1.9321,-2.1128,-2.3168,0.58525
201,-2.17,-2.1236,-2.0375,0.97238
202,-2.1746,-2.0107,-1.6739,1.1229
203,-2.3498,-1.8607,-1.2606,1.6078
204,-2.4716,-1.6704,-0.7095,2.0536
205,-1.4402,-1.4926,-0.19858,0.54028
206,-1.2233,-1.2822,-0.064612,0.4406
207,-1.2801,-1.0502,0.10953,0.82967
208,-0.758,-0.8414,0.16883,0.21377
209,-0.66518,-0.70838,0.26643,0.22551
210,-0.77193,-0.58929,0.38122,0.55593
211,-0.17326,-0.55681,0.4635,-0.41189
212,0.068051,-0.57847,0.32,-0.84593
213,-0.31945,-0.58001,0.20901,-0.19486
214,-0.18022,-0.55681,0.046378,-0.40015
215,0.24672,-0.58157,-0.10291,-1.1509
216,-0.072328,-0.63106,-0.38226,-0.67584
217,-0.031729,-0.79964,-0.6119,-0.95735
218,-0.081612,-1.0332,-0.99266,-1.1685
219,-0.17443,-1.3626,-1.4118,-1.4286
220,0.0042413,-1.655,-2.0107,-2.0992
221,-1.0434,-1.9071,-2.5618,-0.65237
222,-2.0505,-2.1097,-2.5388,0.78861
223,-1.9913,-2.2257,-2.3609,0.54223
224,-2.076,-2.1762,-2.1006,0.74755
225,-2.2384,-2.0231,-1.7485,1.2148
226,-2.2929,-1.7864,-1.3409,1.6059
227,-2.3533,-1.6101,-0.80324,1.9304
228,-1.685,-1.3518,-0.24835,1.1307
229,-1.1687,-1.1476,-0.039758,0.51878
230,-0.9332,-0.97132,0.19561,0.34478
231,-0.79629,-0.78109,0.27409,0.35454
232,-0.012006,-0.6063,0.35444,-0.7462
233,-0.758,-0.49804,0.44052,0.64782
234,-0.35425,-0.46093,0.40993,0.014331
235,-0.21387,-0.47794,0.3238,-0.24374
236,-0.020123,-0.45474,0.2052,-0.54092
237,-0.18836,-0.55062,0.1076,-0.37863
238,-0.31016,-0.64651,-0.0072435,-0.29456
239,-0.19415,-0.79037,-0.29998,-0.67192
240,-0.10133,-0.95122,-0.65015,-1.0317
241,-0.16863,-1.1152,-1.0482,-1.1255
242,0.1075,-1.2838,-1.5648,-1.804
243,-0.01316,-1.4663,-2.1599,-1.8313
244,-1.6351,-1.6457,-2.3188,0.6752
245,-2.0447,-1.7942,-2.0088,1.1777
246,-1.895,-1.9179,-1.6968,0.76905
247,-1.9101,-1.9535,-1.3065,0.74949
248,-2.1688,-1.938,-0.91231,1.2051
249,-2.3695,-1.8112,-0.44349,1.7036
250,-1.5643,-1.6611,-0.062684,0.53639
251,-1.4031,-1.491,0.010006,0.47969
252,-1.1919,-1.3178,0.13439,0.34283
253,-1.1652,-1.1569,0.32,0.50119
254,-0.4053,-0.98215,0.5018,-0.55851
255,-0.73016,-0.82439,0.47116,0.18836
256,-0.78004,-0.69447,0.56683,0.43666
257,-0.32641,-0.65889,0.57829,-0.28283
258,-0.79165,-0.62487,0.73332,0.54419
259,-1.0051,-0.64188,0.84811,0.88244
260,-0.020123,-0.64034,0.77542,-0.77555
261,-0.12685,-0.71613,0.58788,-0.69148
262,0.0030876,-0.80273,0.34105,-1.0199
263,-0.2278,-0.88935,0.04252,-0.74034
264,-0.18836,-0.98215,-0.26361,-0.92411
265,0.1922,-1.0904,-0.7095,-1.7023
266,0.1075,-1.2018,-1.1764,-1.7003
267,-0.37397,-1.3333,-1.6681,-1.0551
268,-1.3207,-1.4802,-1.8958,0.35454
269,-1.6722,-1.5946,-1.6911,0.80229
270,-1.8822,-1.754,-1.5093,0.95479
271,-1.9623,-1.8498,-1.2051,0.96849
272,-1.8556,-1.8436,-0.90657,0.79643
273,-1.9449,-1.7524,-0.58126,1.0623
274,-1.9936,-1.6457,-0.22917,1.2793
275,-1.1049,-1.5018,-0.0072435,-0.036496
276,-1.1165,-1.3534,0.0080769,0.17077
277,-1.2082,-1.2234,0.090355,0.48946
278,-1.0411,-1.0997,0.20901,0.36433
279,-0.7232,-0.95432,0.16883,0.012387
280,-0.758,-0.83212,0.21667,0.22551
281,-0.69187,-0.74242,0.25111,0.22745
282,0.23513,-0.63415,0.28175,-1.1979
283,-1.0214,-0.6295,0.38508,0.92547
284,-0.57586,-0.63725,0.48455,0.16489
285,0.075014,-0.64807,0.47496,-0.94564
286,0.047175,-0.69447,0.21474,-0.95737
287,-0.07697,-0.79347,-0.13923,-0.87331
288,0.2386,-0.85532,-0.44735,-1.4833
289,-0.020123,-0.94194,-0.95248,-1.1568
290,0.090095,-1.0378,-1.4232,-1.4637
291,0.2444,-1.2111,-1.8844,-1.9428
292,-0.67679,-1.4106,-2.4833,-0.6426
293,-1.9089,-1.5668,-2.3168,1.2363
294,-1.801,-1.6813,-1.9934,0.90982
295,-1.8022,-1.7756,-1.649,0.7925
296,-1.9658,-1.7462,-1.3065,1.1053
297,-2.2373,-1.7308,-0.98692,1.5824
298,-2.1131,-1.6642,-0.5698,1.4573
299,-1.4274,-1.5653,-0.29425,0.42689
300,-1.3752,-1.4168,-0.20812,0.5266
301,-1.1211,-1.2606,-0.070344,0.29589
302,-0.94016,-1.16,-0.11438,0.11798
303,-0.59094,-1.0255,-0.20431,-0.30044
304,-0.69536,-0.90482,-0.20624,0.028033
305,-0.62574,-0.78418,-0.12777,0.063214
306,-0.85431,-0.71457,0.015737,0.53639
307,-0.75453,-0.65116,0.13439,0.4484
308,-0.81022,-0.62022,0.31234,0.58137
309,-0.73828,-0.65735,0.47309,0.41319
310,-0.40298,-0.67436,0.64338,-0.17335
311,0.035569,-0.73467,0.32573,-0.98864
312,-0.074649,-0.83521,0.086553,-0.92999
313,0.017,-0.96669,-0.28086,-1.2506
314,0.013526,-1.1214,-0.69032,-1.4403
315,-0.14542,-1.3549,-1.163,-1.4677
316,0.13303,-1.5653,-1.7906,-2.2028
317,-1.1478,-1.7292,-2.2174,-0.25154
318,-1.7082,-1.8158,-2.026,0.58331
319,-1.9031,-1.7818,-1.6643,0.95479
320,-2.1665,-1.672,-1.2032,1.5374
321,-2.1734,-1.5451,-0.65588,1.7095
322,-2.1653,-1.3549,-0.024438,1.9363
323,-1.0887,-1.1925,0.40801,0.32719
324,-1.3242,-1.0487,0.59747,0.90591
325,-0.67911,-0.94348,0.64718,-0.048207
326,-0.70115,-0.85068,0.69694,0.10624
327,-0.53409,-0.80429,0.76396,-0.11665
328,-0.49464,-0.7548,0.84624,-0.12056
329,-0.52365,-0.71147,0.95144,-0.016915
330,-0.29508,-0.69137,1.0356,-0.37668
331,-0.18836,-0.73623,0.79261,-0.61325
332,-0.023598,-0.75324,0.67209,-0.9124
333,-0.1605,-0.84759,0.4176,-0.80096
334,-0.014314,-1.0456,0.036789,-1.2976
335,-0.083933,-1.2776,-0.41478,-1.4735
336,0.092416,-1.4647,-1.0348,-2.0073
337,0.064576,-1.6581,-1.5476,-2.2048
338,-1.4379,-1.7694,-1.9112,0.18639
339,-1.7987,-1.8375,-1.6873,0.70843
340,-2.214,-1.788,-1.4079,1.471
341,-2.1201,-1.6828,-0.96207,1.4455
342,-2.3579,-1.5498,-0.43776,2.0145
343,-2.2813,-1.4044,0.15158,2.0692
344,-1.2499,-1.2343,0.67975,0.54614
345,-0.91231,-1.0549,0.81367,0.20398
346,-0.72669,-0.85068,0.98208,0.14927
347,-0.67796,-0.70375,1.0395,0.25289
348,-0.6153,-0.62487,1.1313,0.24701
349,-0.1373,-0.55062,1.2614,-0.46466
350,-0.24984,-0.51661,1.1409,-0.232
351,-0.28929,-0.48876,1.0663,-0.13033
352,-0.070006,-0.47638,0.91127,-0.48422
353,-0.26028,-0.49648,0.83284,-0.18898
354,-0.090896,-0.56454,0.64145,-0.56046
355,0.042533,-0.7749,0.37163,-1.0512
356,-0.1431,-1.01,-0.037829,-1.0356
357,-0.025919,-1.2234,-0.46074,-1.5029
358,-0.0085179,-1.491,-0.95061,-1.8704
359,-0.2336,-1.7385,-1.5744,-1.804
360,-1.6792,-1.9241,-1.7543,0.39757
361,-1.8915,-2.0385,-1.5648,0.61069
362,-2.2489,-2.0277,-1.3697,1.2266
363,-2.0447,-1.9426,-1.0022,0.98997
364,-2.2245,-1.8112,-0.55255,1.4592
365,-2.2651,-1.6287,-0.0072435,1.7583
366,-1.5319,-1.4353,0.51519,0.76711
367,-1.4994,-1.1909,0.68928,1.0213
368,-0.73596,-0.9868,0.84431,-0.0071705
369,-0.57818,-0.78109,0.90361,-0.013026
370,-0.56078,-0.64034,1.0031,0.13557
371,-0.72088,-0.52124,1.1638,0.55593
372,-0.39139,-0.45474,1.2576,0.084739
373,-0.26376,-0.45009,1.1504,-0.12447
374,-0.30437,-0.44855,1.0911,-0.054086
375,-0.32062,-0.45937,1.0567,-0.040384
376,-0.020123,-0.47019,0.94378,-0.56046
377,-0.25332,-0.52124,0.84045,-0.232
378,0.013526,-0.62022,0.6166,-0.80681
379,-0.18603,-0.81357,0.37356,-0.71493
380,-0.030561,-1.0115,0.048252,-1.2272
381,0.23513,-1.2111,-0.4684,-1.9272
382,0.018168,-1.3843,-0.93529,-1.7805
383,-0.39834,-1.5498,-1.5246,-1.2878
384,-1.3683,-1.7029,-1.7906,0.15318
385,-1.8996,-1.771,-1.5974,0.96261
386,-1.8498,-1.7942,-1.4634,0.84923
387,-1.5562,-1.7586,-1.1745,0.39954
388,-1.9855,-1.6101,-0.85488,1.3106
389,-1.743,-1.474,-0.36887,1.0741
390,-1.9751,-1.3317,0.18988,1.645
391,-1.1339,-1.1476,0.64911,0.46013
392,-1.1409,-1.0084,0.80601,0.64784
393,-0.62574,-0.83521,0.82899,-0.0012916
394,-0.71972,-0.7285,0.79454,0.29198
395,-0.75105,-0.57538,0.88068,0.53834
396,-0.43895,-0.47947,0.92466,0.13362
397,-0.37165,-0.44236,1.0701,0.067126
398,-0.54802,-0.42689,1.2136,0.38389
399,-0.061889,-0.41607,1.1504,-0.42165
400,0.15043,-0.48257,0.98208,-0.86352
401,0.12142,-0.55372,0.74671,-0.90458
402,0.16436,-0.74242,0.39654,-1.2155
403,-0.0050431,-0.9605,-0.0033858,-1.2057
404,0.10866,-1.1786,-0.49898,-1.673
405,0.084299,-1.3595,-1.1228,-1.8607
406,0.020489,-1.5637,-1.7677,-2.0112
407,-1.7036,-1.7323,-1.982,0.68108
408,-1.8242,-1.8653,-1.7198,0.71626
409,-1.808,-1.887,-1.4711,0.66149
410,-1.96,-1.8421,-1.1247,0.97435
411,-2.1874,-1.7199,-0.69799,1.512
412,-2.098,-1.5451,-0.20624,1.5824
413,-2.1885,-1.3503,0.3621,1.9813
414,-1.1281,-1.1554,0.52666,0.4406
415,-1.0759,-0.96979,0.70268,0.5872
416,-0.76496,-0.81357,0.8194,0.26069
417,-0.57818,-0.68674,0.85577,0.10624
418,-0.7058,-0.62796,0.93617,0.3956
419,-0.92391,-0.58001,1.0471,0.82379
420,-0.13382,-0.51196,0.91893,-0.42165
421,-0.30437,-0.47794,0.82899,-0.091234
422,-0.22199,-0.4671,0.69887,-0.21636
423,-0.14195,-0.48566,0.54578,-0.37472
424,-0.12802,-0.50886,0.41952,-0.42751
425,-0.11641,-0.58464,0.13053,-0.54287
426,-0.095539,-0.74861,-0.093324,-0.78531
427,0.042533,-0.90792,-0.44542,-1.2194
428,-0.22431,-1.0518,-0.77839,-0.95152
429,-0.2452,-1.2219,-1.1457,-1.1314
430,-0.52016,-1.4291,-1.561,-0.92999
431,-1.4425,-1.5745,-1.5208,0.44057
432,-1.663,-1.6689,-1.3467,0.69279
433,-1.4936,-1.7199,-1.1725,0.34283
434,-1.6084,-1.6936,-0.98312,0.56963
435,-1.8996,-1.6333,-0.74968,1.1366
436,-1.9704,-1.4678,-0.45308,1.4651
437,-1.8173,-1.2714,-0.041687,1.4553
438,-1.75,-1.0332,0.46543,1.643
439,-0.56078,-0.90946,0.62806,-0.20462
440,-0.91115,-0.79037,0.66636,0.53637
441,-0.82413,-0.66508,0.76583,0.54811
442,-0.6675,-0.55216,0.79454,0.42689
443,-0.79629,-0.47638,0.88448,0.73973
444,-0.54337,-0.42844,1.0165,0.3741
445,-0.25332,-0.40369,0.90173,-0.083411
446,-0.15586,-0.36193,0.79074,-0.19486
447,-0.071174,-0.39441,0.61467,-0.37863
448,-0.11409,-0.41761,0.52666,-0.33562
449,0.07154,-0.51196,0.2683,-0.76772
450,0.13303,-0.69602,-0.043561,-1.104
451,0.20728,-0.90327,-0.47027,-1.4911
452,0.30589,-1.1384,-0.98119,-1.9545
453,-0.021277,-1.3951,-1.628,-1.7277
454,-0.98425,-1.6147,-2.0853,-0.38254
455,-1.7477,-1.7014,-1.9513,0.79446
456,-1.598,-1.7617,-1.7849,0.46601
457,-1.8393,-1.7447,-1.517,0.89417
458,-1.9031,-1.6225,-1.1457,1.1562
459,-1.9136,-1.4307,-0.67886,1.4162
460,-2.1421,-1.2497,-0.093324,2.0301
461,-1.2581,-1.0394,0.45397,0.8062
462,-0.90419,-0.87698,0.54385,0.41516
463,-0.25564,-0.68364,0.67016,-0.43339
464,-0.42619,-0.57229,0.62233,-0.0052032
465,-0.33453,-0.46556,0.68548,-0.024761
466,-0.40879,-0.43617,0.59935,0.13753
467,-0.45403,-0.44699,0.70653,0.20009
468,-0.20808,-0.48412,0.73139,-0.26133
469,-0.34381,-0.55062,0.73139,-0.11665
470,-0.10249,-0.6326,0.70461,-0.62695
471,-0.39951,-0.80738,0.53239,-0.34736
472,-0.40066,-0.97132,0.37356,-0.55266
473,-0.074649,-1.1229,0.17649,-1.2937
474,0.085452,-1.2683,-0.091396,-1.7473
475,-0.29161,0.43152,0.1248,1.0369
476,-0.34034,-0.27532,0.32959,0.22551
477,-0.14774,-0.69293,0.20901,-0.62695
478,-0.3937,-0.95432,0.011935,-0.54289
479,-0.59905,-1.0286,-0.21005,-0.29068
480,-0.50624,-1.0935,-0.41864,-0.52919
481,-0.39022,-1.0951,-0.71138,-0.72666
482,-0.14427,-1.0719,-0.95248,-1.1118
483,-0.61879,-1.0053,-1.1993,-0.22807
484,-0.23824,-0.90327,-1.3811,-0.74034
485,-0.69651,-0.82902,-1.494,0.1258
486,-0.80209,-0.73004,-1.3831,0.42884
487,-1.229,-0.66045,-1.0099,1.2363
488,-0.99933,-0.56919,-0.53536,0.96456
489,-1.5261,-0.46093,-0.047418,1.9891
490,-1.3462,-0.39131,0.50368,1.774
491,-0.59675,-0.32481,0.85197,0.59504
492,-0.42619,-0.25676,0.83665,0.39366
493,-0.22431,-0.24128,0.87489,0.073004
494,-0.16399,-0.24593,0.87109,-0.034528
495,-0.29276,-0.22737,0.83665,0.20595
496,-0.1779,-0.27686,0.8194,-0.050174
497,-0.30901,-0.31399,0.80413,0.12383
498,-0.017802,-0.35111,0.75051,-0.41383
499,0.0065624,-0.37894,0.64718,-0.49007
500,0.040212,-0.38977,0.49794,-0.56048
501,0.15158,-0.45318,0.40801,-0.82832
502,-0.13266,-0.51661,0.14398,-0.42948
503,-0.088575,-0.6558,-0.039758,-0.67972
504,-0.28812,-0.78263,-0.25215,-0.50377
505,-0.12685,-0.95895,-0.52577,-0.99843
506,0.019322,-1.0626,-0.90465,-1.3758
507,0.11214,-1.0734,-1.3409,-1.5459
508,-0.19879,-1.0162,-1.7351,-0.94955
509,-0.76845,-0.92802,-1.9513,0.12189
510,-1.4495,-0.90946,-1.5859,1.293
511,-1.4669,-0.83677,-1.2376,1.4142
512,-1.4646,-0.73004,-0.67693,1.5452
513,-1.3451,-0.60477,-0.074201,1.5022
514,-1.5052,-0.47947,0.54964,1.9304
515,-0.28117,-0.39596,0.73139,-0.026705
516,-0.26492,-0.34801,0.89787,0.0065314
517,-0.15238,-0.30471,0.81179,-0.12838
518,0.051817,-0.28768,0.66636,-0.45098
519,-0.041,-0.25985,0.71034,-0.25938
520,-0.0061968,-0.20571,0.64911,-0.24959
521,-0.089729,-0.16704,0.64338,-0.059942
522,-0.19183,-0.13611,0.67016,0.15121
523,-0.079291,-0.066519,0.61467,0.049535
524,-0.15122,-0.091255,0.54578,0.13948
525,0.50777,-0.13611,0.48075,-1.0278
526,0.075014,-0.22427,0.33912,-0.40992
527,0.33722,-0.32326,0.17842,-0.97691
528,-0.027087,-0.49185,-0.10291,-0.5761
529,0.21309,-0.59702,-0.40331,-1.1138
530,0.22004,-0.76715,-0.82237,-1.3406
531,-0.032883,-0.90946,-1.2606,-1.0942
532,-0.014314,-0.96823,-1.6146,-1.1998
533,-0.99585,-1.075,-1.7715,0.31936
534,-1.004,-1.0889,-1.6395,0.31545
535,-1.4077,-1.0456,-1.385,1.0506
536,-1.5098,-0.87234,-1.0329,1.4416
537,-1.4692,-0.66817,-0.51238,1.6313
538,-1.7279,-0.49958,0.096087,2.2804
539,-0.81022,-0.31553,0.69694,0.96653
540,-0.35657,-0.15622,0.77542,0.40343
541,-0.12685,-0.089717,0.8194,0.10036
542,0.092416,-0.047953,0.85004,-0.21636
543,-0.068853,0.051029,0.91319,0.18054
544,-0.0061968,0.052585,0.97062,0.076916
545,0.47065,0.060312,0.94378,-0.7169
546,0.13999,0.049491,0.88255,-0.17335
547,-0.18836,-0.02166,0.89594,0.29004
548,0.026285,-0.1191,0.85577,-0.19486
549,0.1075,-0.33254,0.70653,-0.60152
550,-0.057247,-0.49958,0.49414,-0.53504
551,0.13999,-0.73932,0.17076,-1.1705
552,0.1864,-0.85222,-0.18133,-1.3914
553,0.058767,-0.98833,-0.60805,-1.3484
554,0.072693,-1.0487,-1.1324,-1.4481
555,0.097058,-0.99299,-1.6088,-1.4188
556,-0.13963,-0.93265,-2.0623,-0.94367
557,-1.5701,-0.85532,-1.9533,1.5648
558,-1.6664,-0.76562,-1.3964,1.8405
559,-1.5597,-0.61403,-0.84535,1.8522
560,-1.8045,-0.44699,-0.097127,2.4759
561,-0.82066,-0.24747,0.63192,1.0701
562,-0.038678,-0.085066,0.78881,-0.042351
