Time,SP,PV,OP,error
129,0.96357,0.46205,1.4332,-0.28182
130,0.96357,0.19798,1.4409,-0.013052
131,0.96357,1.1632,1.2052,-0.99548
132,0.96357,0.36847,1.3256,-0.18657
133,0.96357,0.10441,1.3705,0.08219
134,0.96357,0.40565,1.2859,-0.22441
135,0.96357,-0.28272,1.3743,0.4762
136,0.96357,0.12492,1.268,0.061315
137,0.96357,0.10441,1.2462,0.08219
138,0.96357,-0.072492,1.2641,0.26224
139,0.96357,0.55563,1.0989,-0.37706
140,0.96357,0.72868,1.0285,-0.55319
141,0.96357,0.2749,1.0861,-0.091333
142,0.96357,0.36847,1.0323,-0.18657
143,0.96357,0.16209,1.0323,0.023479
144,0.96357,0.61203,0.89909,-0.43446
145,0.96357,-0.28272,1.081,0.4762
146,0.96357,0.36847,0.94776,-0.18657
147,0.96357,0.10441,1.0144,0.08219
148,0.96357,-0.014808,1.0502,0.20353
149,0.96357,1.2773,0.78765,-1.1116
150,0.96357,0.16209,1.0285,0.023479
151,0.96357,0.041595,1.0541,0.14612
152,0.96357,0.0044202,1.0951,0.18396
153,0.96357,0.42487,1.0233,-0.24398
154,0.96357,0.062105,1.104,0.12524
155,0.96357,0.29156,1.0771,-0.10829
156,0.96357,-0.051982,1.1386,0.24136
157,0.96357,0.42487,1.0374,-0.24398
158,0.96357,0.5928,0.9785,-0.41489
159,0.96357,0.19798,1.0502,-0.013052
160,0.96357,0.36847,0.9785,-0.18657
161,0.96357,0.91968,0.84529,-0.74759
162,0.96357,0.49922,0.885,-0.31965
163,0.96357,2.2785,0.44948,-2.1306
164,0.96357,0.29156,0.85426,-0.10829
165,0.96357,0.44282,0.80558,-0.26225
166,0.96357,0.23516,0.85041,-0.050888
167,0.96357,0.32873,0.79277,-0.14613
168,0.96357,0.87994,0.63266,-0.70714
169,0.96357,0.42487,0.7172,-0.24398
170,0.96357,0.36847,0.6903,-0.18657
171,0.96357,0.69279,0.5827,-0.51666
172,0.96357,0.16209,0.69414,0.023479
173,0.96357,0.21849,0.67621,-0.033927
174,0.96357,0.72868,0.57373,-0.55319
175,0.96357,0.36847,0.61857,-0.18657
176,0.96357,0.38514,0.57886,-0.20354
177,0.96357,0.5928,0.49816,-0.41489
178,0.96357,1.0863,0.34317,-0.9172
179,0.96357,0.55563,0.3611,-0.37706
180,0.96357,0.84277,0.26247,-0.66931
181,0.96357,-0.23914,0.41874,0.43185
182,0.96357,0.51845,0.23173,-0.33922
183,0.96357,0.49922,0.19586,-0.31965
184,0.96357,0.49922,0.13822,-0.31965
185,0.96357,0.2749,0.16,-0.091333
186,0.96357,1.1632,-0.066727,-0.99548
187,0.96357,0.49922,0.049837,-0.31965
188,0.96357,0.49922,0.0088475,-0.31965
189,0.96357,-0.014808,0.058803,0.20353
190,0.96357,0.55563,-0.097469,-0.37706
191,0.96357,0.46205,-0.088502,-0.28182
192,0.96357,0.84277,-0.22172,-0.66931
193,0.96357,0.46205,-0.20891,-0.28182
194,0.96357,0.91968,-0.39592,-0.74759
195,0.96357,0.61203,-0.4177,-0.43446
196,0.96357,0.46205,-0.43563,-0.28182
197,0.96357,0.71201,-0.56885,-0.53623
198,0.96357,0.42487,-0.55091,-0.24398
199,0.96357,0.61203,-0.64826,-0.43446
200,0.96357,1.6503,-0.92494,-1.4913
201,0.96357,0.041595,-0.59959,0.14612
202,0.96357,1.294,-0.87115,-1.1286
203,0.96357,0.47871,-0.74177,-0.29878
204,0.96357,0.078769,-0.66235,0.10828
205,0.96357,-0.23914,-0.58166,0.43185
206,0.96357,0.91968,-0.8404,-0.74759
207,0.96357,0.55563,-0.80838,-0.37706
208,0.96357,0.97608,-0.95569,-0.805
209,0.96357,0.74919,-0.95569,-0.57407
210,0.96357,0.32873,-0.91598,-0.14613
211,0.96357,1.5004,-1.2132,-1.3386
212,0.96357,0.7697,-1.1068,-0.59494
213,0.96357,0.17876,-1.0223,0.0065184
214,0.96357,0.31207,-1.0851,-0.12917
215,0.96357,0.32873,-1.0851,-0.14613
216,0.96357,-0.072492,-0.99539,0.26224
217,0.96357,-0.53268,-0.84937,0.73062
218,0.96357,0.34924,-1.053,-0.167
219,0.96357,0.078769,-1.0133,0.10828
220,0.96357,-0.014808,-0.97746,0.20353
221,0.96357,-0.50961,-0.85834,0.70713
222,0.96357,0.17876,-0.98259,0.0065184
223,0.96357,0.2749,-1.0044,-0.091333
224,0.96357,0.14158,-1.0005,0.044354
225,0.96357,0.23516,-1.0313,-0.050888
226,0.96357,-0.58909,-0.84937,0.78802
227,0.96357,0.25567,-1.062,-0.071763
228,0.96357,0.0044202,-1.0133,0.18396
229,0.96357,0.87994,-1.2132,-0.70714
230,0.96357,0.32873,-1.1158,-0.14613
231,0.96357,0.12492,-1.0761,0.061315
232,0.96357,0.041595,-1.0274,0.14612
233,0.96357,-0.031472,-1.0095,0.22049
234,0.96357,0.17876,-1.0364,0.0065184
235,0.96357,0.47871,-1.0851,-0.29878
236,0.96357,0.078769,-1.0274,0.10828
237,0.96357,0.44282,-1.1606,-0.26225
238,0.96357,0.62869,-1.2132,-0.45143
239,0.96357,0.46205,-1.2093,-0.28182
240,0.96357,0.87994,-1.3297,-0.70714
241,0.96357,0.84277,-1.3784,-0.66931
242,0.96357,0.42487,-1.3425,-0.24398
243,0.96357,0.44282,-1.3694,-0.26225
244,0.96357,-0.30195,-1.2003,0.49578
245,0.96357,0.34924,-1.3733,-0.167
246,0.96357,-0.14556,-1.3028,0.3366
247,0.96357,0.32873,-1.4271,-0.14613
248,0.96357,-0.051982,-1.3387,0.24136
249,0.96357,0.21849,-1.4232,-0.033927
250,0.96357,0.0044202,-1.4002,0.18396
251,0.96357,0.46205,-1.4937,-0.28182
252,0.96357,0.40565,-1.4937,-0.22441
253,0.96357,0.25567,-1.4578,-0.071763
254,0.96357,0.65561,-1.5692,-0.47882
255,0.96357,0.0044202,-1.454,0.18396
256,0.96357,0.32873,-1.5513,-0.14613
257,0.96357,0.36847,-1.5654,-0.18657
258,0.96357,-0.55319,-1.3694,0.75149
259,0.96357,0.17876,-1.5206,0.0065184
260,0.96357,0.44282,-1.5564,-0.26225
261,0.96357,0.062105,-1.4847,0.12524
262,0.96357,-0.20196,-1.4143,0.39401
263,0.96357,-0.26606,-1.3733,0.45924
264,0.96357,-0.26606,-1.3387,0.45924
265,0.96357,0.14158,-1.3963,0.044354
266,0.96357,0.89917,-1.5423,-0.72671
267,0.96357,0.2749,-1.4091,-0.091333
268,0.96357,1.3299,-1.6499,-1.1651
269,0.96357,0.078769,-1.3643,0.10828
270,0.96357,-0.072492,-1.3118,0.26224
271,0.96357,0.02493,-1.3425,0.16308
272,0.96357,-0.051982,-1.2849,0.24136
273,0.96357,0.02493,-1.281,0.16308
274,0.96357,-0.14556,-1.2362,0.3366
275,0.96357,-0.14556,-1.2093,0.3366
276,0.96357,-0.3763,-1.112,0.57145
277,0.96357,-0.47244,-1.0671,0.6693
278,0.96357,0.72868,-1.2977,-0.55319
279,0.96357,-0.18145,-1.0889,0.37313
280,0.96357,0.36847,-1.2003,-0.18657
281,0.96357,0.2749,-1.1517,-0.091333
282,0.96357,0.42487,-1.2003,-0.24398
283,0.96357,-0.014808,-1.071,0.20353
284,0.96357,-0.97621,-0.80838,1.182
285,0.96357,-0.35835,-0.86218,0.55318
286,0.96357,-0.089157,-0.87115,0.2792
287,0.96357,-0.12505,-0.85834,0.31573
288,0.96357,0.25567,-0.93775,-0.071763
289,0.96357,0.23516,-0.90189,-0.050888
290,0.96357,-0.32246,-0.7597,0.51665
291,0.96357,-0.23914,-0.74177,0.43185
292,0.96357,-0.4891,-0.63546,0.68626
293,0.96357,-0.14556,-0.65339,0.3366
294,0.96357,-0.10838,-0.63161,0.29877
295,0.96357,-0.18145,-0.57781,0.37313
296,0.96357,-0.051982,-0.56372,0.24136
297,0.96357,-0.55319,-0.38696,0.75149
298,0.96357,-0.12505,-0.43051,0.31573
299,0.96357,-0.39552,-0.34597,0.59102
300,0.96357,-0.62626,-0.23965,0.82586
301,0.96357,-0.73907,-0.15511,0.94067
302,0.96357,-0.051982,-0.23581,0.24136
303,0.96357,0.041595,-0.19098,0.14612
304,0.96357,-0.32246,-0.12821,0.51665
305,0.96357,-0.031472,-0.097469,0.22049
306,0.96357,-0.30195,0.013971,0.49578
307,0.96357,-0.089157,-0.0039617,0.2792
308,0.96357,-0.35835,0.10235,0.55318
309,0.96357,-0.089157,0.084422,0.2792
310,0.96357,-0.26606,0.12925,0.45924
311,0.96357,-0.26606,0.19202,0.45924
312,0.96357,0.2749,0.12541,-0.091333
313,0.96357,-0.031472,0.20995,0.22049
314,0.96357,-0.3763,0.3342,0.57145
315,0.96357,0.29156,0.23685,-0.10829
316,0.96357,-0.20196,0.36494,0.39401
317,0.96357,-0.072492,0.38288,0.26224
318,0.96357,0.42487,0.29834,-0.24398
319,0.96357,-0.22247,0.44948,0.41488
320,0.96357,0.16209,0.42258,0.023479
321,0.96357,-0.30195,0.56477,0.49578
322,0.96357,0.21849,0.47254,-0.033927
323,0.96357,-0.072492,0.53915,0.26224
324,0.96357,-0.32246,0.61857,0.51665
325,0.96357,0.078769,0.55708,0.10828
326,0.96357,0.10441,0.56092,0.08219
327,0.96357,-0.30195,0.6903,0.49578
328,0.96357,-0.41603,0.77868,0.61189
329,0.96357,0.10441,0.67621,0.08219
330,0.96357,-0.41603,0.77868,0.61189
331,0.96357,0.12492,0.6903,0.061315
332,0.96357,-0.20196,0.80046,0.39401
333,0.96357,0.041595,0.79661,0.14612
334,0.96357,0.51845,0.74282,-0.33922
335,0.96357,0.041595,0.86322,0.14612
336,0.96357,-0.32246,0.98747,0.51665
337,0.96357,-0.014808,0.92086,0.20353
338,0.96357,0.47871,0.78765,-0.29878
339,0.96357,0.21849,0.86322,-0.033927
340,0.96357,0.61203,0.77484,-0.43446
341,0.96357,0.36847,0.80942,-0.18657
342,0.96357,0.16209,0.85426,0.023479
343,0.96357,0.078769,0.87219,0.10828
344,0.96357,-0.4891,0.99644,0.68626
345,0.96357,-0.32246,1.0016,0.51665
346,0.96357,-0.014808,0.9657,0.20353
347,0.96357,-0.051982,1.0195,0.24136
348,0.96357,-0.14556,1.0951,0.3366
349,0.96357,-0.20196,1.1297,0.39401
350,0.96357,-0.014808,1.0989,0.20353
351,0.96357,0.21849,1.0899,-0.033927
352,0.96357,-0.16479,1.1655,0.35617
353,0.96357,0.25567,1.0861,-0.071763
354,0.96357,0.17876,1.0861,0.0065184
355,0.96357,0.51845,1.0105,-0.33922
356,0.96357,0.84277,0.91702,-0.66931
357,0.96357,0.44282,0.97466,-0.26225
358,0.96357,0.12492,1.0233,0.061315
359,0.96357,0.42487,0.96057,-0.24398
360,0.96357,-0.28272,1.0951,0.4762
361,0.96357,0.23516,0.95289,-0.050888
362,0.96357,0.078769,0.9785,0.10828
363,0.96357,0.062105,0.98747,0.12524
364,0.96357,0.16209,0.9388,0.023479
365,0.96357,0.21849,0.94776,-0.033927
366,0.96357,0.29156,0.9388,-0.10829
367,0.96357,0.21849,0.93495,-0.033927
368,0.96357,0.14158,0.9388,0.044354
369,0.96357,0.2749,0.89909,-0.091333
370,0.96357,0.38514,0.86322,-0.20354
371,0.96357,0.12492,0.89909,0.061315
372,0.96357,0.47871,0.82736,-0.29878
373,0.96357,0.17876,0.88115,0.0065184
374,0.96357,-0.014808,0.94776,0.20353
375,0.96357,0.10441,0.9119,0.08219
376,0.96357,-0.12505,0.98747,0.31573
377,0.96357,0.12492,0.93495,0.061315
378,0.96357,-0.18145,0.9785,0.37313
379,0.96357,0.29156,0.90293,-0.10829
380,0.96357,0.40565,0.89012,-0.22441
381,0.96357,0.062105,1.0144,0.12524
382,0.96357,0.47871,0.89396,-0.29878
383,0.96357,0.44282,0.89396,-0.26225
384,0.96357,0.041595,0.9657,0.14612
385,0.96357,1.6311,0.63266,-1.4717
386,0.96357,0.97608,0.75691,-0.805
387,0.96357,0.14158,0.92086,0.044354
388,0.96357,0.14158,0.89909,0.044354
389,0.96357,-0.30195,1.0105,0.49578
390,0.96357,0.10441,0.94392,0.08219
391,0.96357,0.2749,0.90805,-0.091333
392,0.96357,0.02493,0.94776,0.16308
393,0.96357,0.8261,0.78765,-0.65235
394,0.96357,-0.32246,1.0285,0.51665
395,0.96357,1.1799,0.70311,-1.0124
396,0.96357,0.2749,0.89396,-0.091333
397,0.96357,0.29156,0.86322,-0.10829
398,0.96357,0.10441,0.88115,0.08219
399,0.96357,0.2749,0.81839,-0.091333
400,0.96357,0.29156,0.80046,-0.10829
401,0.96357,0.16209,0.80046,0.023479
402,0.96357,0.55563,0.71207,-0.37706
403,0.96357,0.14158,0.78765,0.044354
404,0.96357,0.38514,0.73385,-0.20354
405,0.96357,0.55563,0.69414,-0.37706
406,0.96357,0.31207,0.75178,-0.12917
407,0.96357,0.47871,0.68517,-0.29878
408,0.96357,0.47871,0.66724,-0.29878
409,0.96357,0.46205,0.66724,-0.28182
410,0.96357,-0.031472,0.76075,0.22049
411,0.96357,0.61203,0.59679,-0.43446
412,0.96357,-0.33912,0.78765,0.53361
413,0.96357,0.46205,0.6096,-0.28182
414,0.96357,0.29156,0.64034,-0.10829
415,0.96357,0.10441,0.65443,0.08219
416,0.96357,-0.051982,0.66724,0.24136
417,0.96357,0.38514,0.56092,-0.20354
418,0.96357,-0.12505,0.68133,0.31573
419,0.96357,0.34924,0.58782,-0.167
420,0.96357,0.40565,0.56989,-0.22441
421,0.96357,0.74919,0.49816,-0.57407
422,0.96357,-0.10838,0.64931,0.29877
423,0.96357,0.29156,0.57886,-0.10829
424,0.96357,-0.32246,0.70311,0.51665
425,0.96357,-0.73907,0.77868,0.94067
426,0.96357,0.25567,0.57886,-0.071763
427,0.96357,0.62869,0.50713,-0.45143
428,0.96357,0.041595,0.64547,0.14612
429,0.96357,-0.26606,0.7172,0.45924
430,0.96357,-0.051982,0.70823,0.24136
431,0.96357,-0.089157,0.7172,0.2792
432,0.96357,-0.014808,0.70311,0.20353
433,0.96357,0.25567,0.64931,-0.071763
434,0.96357,0.16209,0.73001,0.023479
435,0.96357,-0.41603,0.77868,0.61189
436,0.96357,0.34924,0.65443,-0.167
437,0.96357,0.062105,0.74794,0.12524
438,0.96357,-0.3763,0.885,0.57145
439,0.96357,-0.64549,0.95673,0.84543
440,0.96357,-0.23914,0.89012,0.43185
441,0.96357,0.23516,0.82736,-0.050888
442,0.96357,0.10441,0.87731,0.08219
443,0.96357,-0.089157,0.9388,0.2792
444,0.96357,-0.30195,0.99259,0.49578
445,0.96357,-0.031472,0.95673,0.22049
446,0.96357,-0.072492,1.0054,0.26224
447,0.96357,-0.4891,1.0861,0.68626
448,0.96357,-0.28272,1.0989,0.4762
449,0.96357,0.17876,1.0323,0.0065184
450,0.96357,-0.28272,1.1745,0.4762
451,0.96357,-0.3763,1.2052,0.57145
452,0.96357,-0.55319,1.268,0.75149
453,0.96357,0.062105,1.1566,0.12524
454,0.96357,-0.33912,1.2552,0.53361
455,0.96357,0.041595,1.1706,0.14612
456,0.96357,-0.26606,1.2283,0.45924
457,0.96357,0.65561,1.0374,-0.47882
458,0.96357,0.10441,1.1258,0.08219
459,0.96357,-0.16479,1.1835,0.35617
460,0.96357,0.14158,1.1476,0.044354
461,0.96357,-0.30195,1.2552,0.49578
462,0.96357,-0.014808,1.2411,0.20353
463,0.96357,-0.10838,1.2859,0.29877
464,0.96357,0.041595,1.2641,0.14612
465,0.96357,-0.26606,1.3346,0.45924
466,0.96357,-0.16479,1.3525,0.35617
467,0.96357,0.32873,1.2411,-0.14613
468,0.96357,0.062105,1.277,0.12524
469,0.96357,0.34924,1.2104,-0.167
470,0.96357,-0.12505,1.268,0.31573
471,0.96357,0.46205,1.1437,-0.28182
472,0.96357,0.40565,1.1386,-0.22441
473,0.96357,0.51845,1.104,-0.33922
474,0.96357,0.10441,1.1655,0.08219
475,0.96357,0.062105,1.1386,0.12524
476,0.96357,-0.26606,1.2193,0.45924
477,0.96357,-0.14556,1.2142,0.3366
478,0.96357,0.14158,1.1566,0.044354
479,0.96357,0.14158,1.1566,0.044354
480,0.96357,0.14158,1.1924,0.044354
481,0.96357,0.19798,1.1566,-0.013052
482,0.96357,0.12492,1.1835,0.061315
483,0.96357,-0.33912,1.2949,0.53361
484,0.96357,0.16209,1.1924,0.023479
485,0.96357,0.041595,1.2232,0.14612
486,0.96357,-0.6096,1.3884,0.8089
487,0.96357,0.40565,1.1745,-0.22441
488,0.96357,0.78636,1.113,-0.6119
489,0.96357,-0.072492,1.2898,0.26224
490,0.96357,0.57614,1.1617,-0.39793
491,0.96357,-0.089157,1.3436,0.2792
492,0.96357,-0.80316,1.5664,1.0059
493,0.96357,-0.4327,1.5664,0.62885
494,0.96357,-0.55319,1.6817,0.75149
495,0.96357,-0.47244,1.7535,0.6693
496,0.96357,-0.82239,1.9136,1.0255
497,0.96357,-0.072492,1.838,0.26224
498,0.96357,-0.33912,1.9213,0.53361
499,0.96357,-0.10838,1.9085,0.29877
500,0.96357,-0.10838,1.9085,0.29877
501,0.96357,-0.089157,1.9264,0.2792
502,0.96357,1.5209,1.6151,-1.3595
503,0.96357,0.21849,1.8905,-0.033927
504,0.96357,0.34924,1.8329,-0.167
505,0.96357,0.14158,1.8777,0.044354
506,0.96357,0.36847,1.8457,-0.18657
507,0.96357,0.36847,1.8329,-0.18657
508,0.96357,0.2749,1.8418,-0.091333
509,0.96357,-0.014808,1.8867,0.20353
510,0.96357,-0.031472,1.8956,0.22049
511,0.96357,1.4632,1.5524,-1.3008
512,0.96357,0.12492,1.8111,0.061315
513,0.96357,-0.32246,1.8905,0.51665
514,0.96357,0.2749,1.7535,-0.091333
515,0.96357,0.17876,1.7535,0.0065184
516,0.96357,-0.10838,1.829,0.29877
517,0.96357,-0.80316,2.0237,1.0059
518,0.96357,-0.53268,2.0289,0.73062
519,0.96357,-0.089157,1.9623,0.2792
520,0.96357,-0.16479,1.984,0.35617
521,0.96357,0.062105,1.9623,0.12524
522,0.96357,0.49922,1.8995,-0.31965
523,0.96357,0.42487,1.8995,-0.24398
524,0.96357,0.078769,1.9712,0.10828
525,0.96357,0.32873,1.9482,-0.14613
526,0.96357,0.16209,1.9981,0.023479
527,0.96357,0.17876,1.9712,0.0065184
528,0.96357,0.46205,1.8995,-0.28182
529,0.96357,0.38514,1.8816,-0.20354
530,0.96357,0.21849,1.8867,-0.033927
531,0.96357,0.21849,1.8329,-0.033927
532,0.96357,0.53512,1.7176,-0.35618
533,0.96357,0.65561,1.651,-0.47882
534,0.96357,0.25567,1.6907,-0.071763
535,0.96357,0.51845,1.5793,-0.33922
536,0.96357,0.34924,1.5524,-0.167
537,0.96357,0.53512,1.4729,-0.35618
538,0.96357,0.57614,1.3974,-0.39793
539,0.96357,0.19798,1.4063,-0.013052
540,0.96357,0.16209,1.3922,0.023479
541,0.96357,0.51845,1.2731,-0.33922
542,0.96357,0.42487,1.2552,-0.24398
543,0.96357,0.71201,1.1655,-0.53623
544,0.96357,1.1261,1.0413,-0.95764
545,0.96357,0.34924,1.1476,-0.167
546,0.96357,0.67612,1.0233,-0.4997
547,0.96357,0.29156,1.0502,-0.10829
548,0.96357,0.86328,0.86322,-0.69018
549,0.96357,0.49922,0.885,-0.31965
550,0.96357,0.53512,0.82351,-0.35618
551,0.96357,0.44282,0.78765,-0.26225
552,0.96357,0.65561,0.6903,-0.47882
553,0.96357,0.49922,0.69414,-0.31965
554,0.96357,1.0299,0.53403,-0.85979
555,0.96357,0.32873,0.64547,-0.14613
556,0.96357,0.17876,0.64547,0.0065184
557,0.96357,0.25567,0.6096,-0.071763
558,0.96357,0.2749,0.55708,-0.091333
559,0.96357,-0.10838,0.63266,0.29877
560,0.96357,0.31207,0.52506,-0.12917
561,0.96357,0.67612,0.41874,-0.4997
562,0.96357,0.36847,0.44948,-0.18657
563,0.96357,0.49922,0.36494,-0.31965
564,0.96357,0.62869,0.3073,-0.45143
565,0.96357,0.72868,0.23685,-0.55319
566,0.96357,0.38514,0.26247,-0.20354
567,0.96357,0.7697,0.15231,-0.59494
568,0.96357,0.49922,0.16,-0.31965
569,0.96357,-0.072492,0.28553,0.26224
570,0.96357,0.74919,0.11644,-0.57407
571,0.96357,0.2749,0.16512,-0.091333
572,0.96357,0.12492,0.18305,0.061315
573,0.96357,1.5939,-0.16792,-1.4339
574,0.96357,0.36847,0.05368,-0.18657
575,0.96357,0.42487,-0.0039617,-0.24398
576,0.96357,0.32873,-0.021895,-0.14613
577,0.96357,0.17876,-0.025737,0.0065184
578,0.96357,0.46205,-0.097469,-0.28182
579,0.96357,0.32873,-0.11028,-0.14613
580,0.96357,1.8503,-0.48046,-1.6948
581,0.96357,0.72868,-0.29345,-0.55319
582,0.96357,0.51845,-0.27552,-0.33922
583,0.96357,1.2773,-0.49327,-1.1116
584,0.96357,0.57614,-0.38696,-0.39793
585,0.96357,0.14158,-0.31523,0.044354
586,0.96357,0.65561,-0.47534,-0.47882
587,0.96357,1.1261,-0.61368,-0.95764
588,0.96357,0.53512,-0.52914,-0.35618
589,0.96357,0.2749,-0.48815,-0.091333
590,0.96357,0.34924,-0.57269,-0.167
591,0.96357,0.29156,-0.59062,-0.10829
592,0.96357,0.53512,-0.67516,-0.35618
593,0.96357,-0.30195,-0.55988,0.49578
594,0.96357,0.31207,-0.68925,-0.12917
595,0.96357,-0.18145,-0.56885,0.37313
596,0.96357,0.34924,-0.67516,-0.167
597,0.96357,0.42487,-0.70719,-0.24398
598,0.96357,0.40565,-0.71103,-0.22441
599,0.96357,0.42487,-0.7597,-0.24398
600,0.96357,0.46205,-0.7866,-0.28182
601,0.96357,0.17876,-0.76483,0.0065184
602,0.96357,0.47871,-0.87627,-0.29878
603,0.96357,0.61203,-0.92879,-0.43446
