Time,PV
315,-0.71178
316,-0.71178
317,-0.71178
318,-0.71178
319,-0.71178
320,-0.71178
321,-0.42975
322,-1.0007
323,-1.0007
324,-0.71178
325,-1.0007
326,-0.71178
327,-0.71178
328,-0.71178
329,-0.71178
330,-0.71178
331,-0.71178
332,-0.42975
333,-0.42975
334,-0.42975
335,-0.71178
336,-1.0007
337,-0.71178
338,-1.0007
339,-1.0007
340,-0.71178
341,-0.71178
342,-0.71178
343,-0.71178
344,-0.71178
345,-0.42975
346,-0.71178
347,-0.42975
348,-0.42975
349,-0.42975
350,-0.42975
351,-0.42975
352,-0.71178
353,-0.71178
354,-1.0007
355,-1.0007
356,-0.71178
357,-1.0007
358,-0.71178
359,-1.0007
360,-0.71178
361,-0.71178
362,-0.71178
363,-0.71178
364,-0.42975
365,-0.71178
366,-0.71178
367,-0.42975
368,-0.71178
369,-0.71178
370,-0.71178
371,-0.71178
372,-0.71178
373,-0.71178
374,-0.71178
375,-0.71178
376,-0.71178
377,-1.0007
378,-0.71178
379,-0.71178
380,-0.42975
381,-0.71178
382,-0.42975
383,-0.71178
384,-0.42975
385,-0.14084
386,-0.14084
387,-0.42975
388,-0.71178
389,-0.42975
390,-0.42975
391,-0.71178
392,-0.71178
393,-0.42975
394,-0.14084
395,-0.42975
396,-0.71178
397,-1.0007
398,-0.71178
399,-0.42975
400,-0.71178
401,-0.42975
402,-0.71178
403,-0.71178
404,-0.42975
405,-0.42975
406,-1.0007
407,-1.2896
408,-1.2896
409,-1.2896
410,-1.0007
411,-1.2896
412,-1.0007
413,-1.2896
414,-1.2896
415,-1.0007
416,-1.2896
417,-0.71178
418,-1.0007
419,-1.0007
420,-0.71178
421,-0.71178
422,-1.0007
423,-1.2896
424,-1.0007
425,-1.0007
426,-0.71178
427,-1.5716
428,-1.2896
429,-1.0007
430,-1.2896
431,-1.2896
432,-1.2896
433,-1.2896
434,-1.0007
435,-1.0007
436,-1.0007
437,-0.42975
438,-1.0007
439,-1.0007
440,-1.0007
441,-1.0007
442,-1.2896
443,-1.2896
444,-1.2896
445,-1.5716
446,-1.2896
447,-1.2896
448,-1.2896
449,-1.2896
450,-1.2896
451,-1.0007
452,-1.2896
453,-1.2896
454,-1.0007
455,-1.0007
456,-1.5716
457,-1.2896
458,-1.2896
459,-1.2896
460,-1.5716
461,-1.2896
462,-1.5716
463,-1.0007
464,-1.2896
465,-1.2896
466,-1.8605
467,-1.5716
468,-1.5716
469,-1.5716
470,-1.5716
471,-1.2896
472,-1.5716
473,-1.5716
474,-1.2896
475,-1.2896
476,-1.2896
477,-1.5716
478,-1.5716
479,-1.2896
480,-1.5716
481,-1.2896
482,-1.5716
483,-1.2896
484,-1.2896
485,-1.2896
486,-1.2896
487,-1.2896
488,-1.2896
489,-1.0007
490,-1.2896
491,-1.0007
492,-1.2896
493,-1.0007
494,-1.2896
495,-1.2896
496,-1.2896
497,-1.2896
498,-1.5716
499,-1.2896
500,-1.5716
501,-1.8605
502,-1.8605
503,-1.8605
504,-1.5716
505,-1.5716
506,-1.5716
507,-1.5716
508,-1.5716
509,-1.2896
510,-1.5716
511,-1.5716
512,-1.2896
513,-1.2896
514,-1.2896
515,-1.5716
516,-1.2896
517,-1.8605
518,-1.5716
519,-1.8605
520,-1.5716
521,-1.8605
522,-1.5716
523,-1.2896
524,-1.2896
525,-1.2896
526,-1.2896
527,-1.2896
528,-1.2896
529,-1.2896
530,-1.0007
531,-1.2896
532,-1.2896
533,-1.2896
534,-1.2896
535,-1.8605
536,-1.2896
537,-1.2896
538,-1.2896
539,-1.2896
540,-1.2896
541,-1.2896
542,-1.0007
543,-1.2896
544,-1.2896
545,-1.2896
546,-1.0007
547,-1.2896
548,-1.0007
549,-1.2896
550,-1.2896
551,-1.2896
552,-1.5716
553,-1.2896
554,-1.5716
555,-1.2896
556,-1.2896
557,-1.2896
558,-1.2896
559,-1.0007
560,-1.2896
561,-1.2896
562,-1.2896
563,-1.2896
564,-1.2896
565,-1.2896
566,-1.2896
567,-1.5716
568,-1.5716
569,-1.5716
570,-1.5716
571,-1.5716
572,-1.8605
573,-1.5716
574,-1.5716
575,-1.5716
576,-1.2896
577,-1.5716
578,-1.2896
579,-1.2896
580,-1.2896
581,-1.2896
582,-1.2896
583,-1.2896
584,-1.2896
585,-1.2896
586,-1.2896
587,-1.2896
588,-1.2896
589,-1.5716
590,-1.2896
591,-1.5716
592,-1.5716
593,-1.2896
594,-1.0007
595,-1.2896
596,-1.0007
597,-1.0007
598,-0.71178
599,-1.2896
600,-1.2896
601,-1.0007
602,-1.2896
603,-1.5716
604,-1.5716
605,-1.2896
606,-1.2896
607,-1.2896
608,-1.2896
609,-1.2896
610,-1.2896
611,-1.2896
612,-1.2896
613,-1.2896
614,-1.2896
615,-1.2896
616,-1.2896
617,-1.2896
618,-1.2896
619,-1.2896
620,-1.8605
621,-1.5716
622,-1.5716
623,-1.2896
624,-1.2896
625,-1.2896
626,-1.2896
627,-1.0007
628,-1.2896
629,-1.5716
630,-1.5716
631,-1.5716
632,-1.0007
633,-1.2896
634,-1.2896
635,-1.5716
636,-1.5716
637,-1.8605
638,-1.8605
639,-1.8605
640,-1.5716
641,-2.1495
642,-2.1495
643,-1.8605
644,-2.1495
645,-1.8605
646,-1.5716
647,-1.8605
648,-1.5716
649,-1.5716
650,-1.5716
651,-1.2896
652,-1.2896
653,-1.2896
654,-1.2896
655,-1.2896
656,-1.2896
657,-1.2896
658,-1.2896
659,-1.5716
660,-1.2896
661,-1.0007
662,-1.0007
663,-1.0007
664,-1.5716
665,-1.0007
666,-0.71178
667,-1.2896
668,-1.0007
669,-1.0007
670,-0.71178
671,-1.0007
672,-0.71178
673,-1.2896
674,-1.0007
675,-1.2896
676,-1.2896
677,-1.2896
678,-1.2896
679,-1.2896
680,-1.2896
681,-1.0007
682,-1.0007
683,-1.0007
684,-0.71178
685,-1.0007
686,-1.0007
687,-0.71178
688,-1.2896
689,-1.0007
690,-1.2896
691,-1.0007
692,-1.0007
693,-0.71178
694,-1.0007
695,-1.2896
696,-1.0007
697,-1.0007
698,-1.0007
699,-1.0007
700,-0.71178
701,-0.71178
702,-0.71178
703,-1.0007
704,-0.71178
705,-1.2896
706,-0.71178
707,-1.0007
708,-1.2896
709,-1.2896
710,-1.0007
711,-1.0007
712,-1.2896
713,-1.2896
714,-1.2896
715,-1.2896
716,-1.0007
717,-1.2896
718,-1.0007
719,-1.0007
720,-0.71178
721,-0.71178
722,-1.0007
723,-0.71178
724,-0.71178
725,-1.0007
726,-1.2896
727,-1.0007
728,-1.2896
729,-1.5716
730,-1.2896
731,-1.2896
732,-1.2896
733,-1.2896
734,-1.0007
735,-1.0007
736,-1.2896
737,-0.71178
738,-1.0007
739,-1.0007
740,-1.0007
741,-0.71178
742,-0.71178
743,-0.71178
744,-0.71178
745,-0.71178
746,-0.71178
747,-0.71178
748,-1.0007
749,-0.71178
750,-0.71178
751,-0.71178
752,-0.71178
753,-0.71178
754,-0.71178
755,-0.71178
756,-0.71178
757,-0.71178
758,-0.71178
759,-0.71178
760,-0.71178
761,-0.71178
762,-1.2896
763,-0.71178
764,-1.0007
765,-1.2896
766,-1.2896
767,-1.0007
768,-1.2896
769,-1.0007
770,-1.0007
771,-1.0007
772,-1.0007
773,-0.71178
774,-0.71178
775,-0.42975
776,-0.71178
777,-0.71178
778,-0.71178
779,-0.42975
780,-1.0007
781,-1.0007
782,-0.71178
783,-0.71178
784,-0.42975
785,-0.71178
786,-0.71178
787,-0.71178
788,-1.0007
789,-1.0007
790,-1.0007
791,-0.71178
792,-0.71178
793,-0.71178
794,-0.71178
795,-0.71178
796,-0.71178
797,-0.42975
798,-0.42975
799,-0.71178
800,-0.71178
801,-0.71178
802,-0.71178
803,-0.71178
804,-1.2896
805,-1.0007
806,-1.0007
807,-0.71178
808,-0.71178
809,-0.71178
810,-0.71178
811,-0.42975
812,-0.71178
813,-0.71178
814,-0.71178
815,-0.71178
816,-0.71178
817,-0.71178
818,-0.71178
819,-0.71178
820,-0.71178
821,-1.0007
822,-1.0007
823,-1.0007
824,-1.0007
825,-0.71178
826,-0.71178
827,-0.71178
828,-0.71178
829,-0.71178
830,-0.42975
831,-0.71178
832,-0.71178
833,-0.71178
834,-0.71178
835,-0.42975
836,-0.42975
837,-0.42975
838,-0.71178
839,-0.71178
840,-0.71178
841,-1.2896
842,-0.42975
843,-1.0007
844,-0.71178
845,-1.0007
846,-1.0007
847,-0.71178
848,-1.0007
849,-0.71178
850,-0.71178
851,-1.0007
852,-0.71178
853,-1.0007
854,-1.0007
855,-0.71178
856,-1.0007
857,-1.0007
858,-1.2896
859,-1.0007
860,-1.0007
861,-1.2896
862,-1.0007
863,-1.0007
864,-1.0007
865,-1.2896
866,-1.2896
867,-1.2896
868,-1.2896
869,-1.2896
870,-1.0007
871,-1.2896
872,-1.2896
873,-1.5716
874,-1.2896
875,-1.5716
876,-1.2896
877,-1.2896
878,-1.2896
879,-1.2896
880,-1.2896
881,-1.2896
882,-1.2896
883,-1.5716
884,-1.2896
885,-1.2896
886,-1.2896
887,-1.2896
888,-1.2896
889,-1.5716
890,-1.2896
891,-1.2896
892,-1.2896
893,-1.2896
894,-1.2896
895,-1.2896
896,-1.5716
897,-1.2896
898,-1.5716
899,-1.5716
900,-1.2896
901,-1.5716
902,-1.2896
903,-1.2896
904,-1.2896
905,-1.2896
906,-1.2896
907,-1.2896
908,-1.0007
909,-1.2896
910,-1.2896
911,-1.2896
912,-1.2896
913,-1.2896
914,-1.2896
915,-1.2896
916,-1.2896
917,-1.2896
918,-1.0007
919,-1.2896
920,-1.5716
921,-1.2896
922,-1.2896
923,-1.2896
924,-1.0007
925,-1.2896
926,-1.0007
927,-1.2896
928,-1.2896
929,-1.0007
930,-1.2896
931,-1.2896
932,-1.2896
933,-1.5716
934,-1.5716
935,-1.5716
936,-1.2896
937,-1.5716
938,-1.5716
939,-1.5716
940,-1.2896
941,-1.2896
942,-1.2896
943,-1.5716
944,-1.2896
945,-1.2896
946,-1.2896
947,-1.2896
948,-1.2896
949,-1.2896
950,-1.2896
951,-1.2896
952,-1.2896
953,-1.2896
954,-1.2896
955,-1.2896
956,-1.2896
957,-1.2896
958,-1.2896
959,-1.2896
960,-1.2896
961,-1.2896
962,-1.2896
963,-1.0007
964,-1.2896
965,-1.2896
966,-1.2896
967,-1.2896
968,-1.5716
969,-1.2896
970,-1.5716
971,-1.5716
972,-1.8605
973,-1.5716
974,-1.5716
975,-1.8605
976,-1.5716
977,-1.8605
978,-1.5716
979,-1.2896
980,-1.5716
981,-1.8605
982,-1.5716
983,-1.5716
984,-1.2896
985,-1.5716
986,-1.8605
987,-1.8605
988,-1.8605
989,-1.5716
990,-1.5716
991,-1.2896
992,-1.8605
993,-1.2896
994,-1.2896
995,-1.2896
996,-1.5716
997,-1.5716
998,-1.2896
999,-1.2896
1000,-1.2896
1001,-1.2896
1002,-1.2896
1003,-1.2896
1004,-1.2896
1005,-1.5716
1006,-1.2896
1007,-1.2896
1008,-1.5716
1009,-1.2896
1010,-1.5716
1011,-1.2896
1012,-1.2896
1013,-1.2896
1014,-1.5716
1015,-1.2896
1016,-1.5716
1017,-1.2896
1018,-1.5716
1019,-1.2896
1020,-1.5716
1021,-1.5716
1022,-1.2896
1023,-1.5716
1024,-1.5716
1025,-1.5716
1026,-1.5716
1027,-1.5716
1028,-1.2896
1029,-1.2896
1030,-1.5716
1031,-1.5716
1032,-1.2896
1033,-1.5716
1034,-1.2896
1035,-1.2896
1036,-1.5716
1037,-1.5716
1038,-1.2896
1039,-1.2896
1040,-1.5716
1041,-1.5716
1042,-1.8605
1043,-1.5716
1044,-1.5716
1045,-1.8605
1046,-1.8605
1047,-1.8605
1048,-1.8605
1049,-1.5716
1050,-1.8605
1051,-1.8605
1052,-1.8605
1053,-1.8605
1054,-1.8605
1055,-1.5716
1056,-1.5716
1057,-1.5716
1058,-2.1495
1059,-1.5716
1060,-1.5716
1061,-1.8605
1062,-1.2896
1063,-1.5716
1064,-1.2896
1065,-1.2896
1066,-1.0007
1067,-1.2896
1068,-1.2896
1069,-1.0007
1070,-1.0007
1071,-1.0007
1072,-1.0007
1073,-1.2896
1074,-1.0007
1075,-0.71178
1076,-0.71178
1077,-0.71178
1078,-1.0007
1079,-0.71178
1080,-0.71178
1081,-0.71178
1082,-0.71178
1083,-1.0007
1084,-1.0007
1085,-0.71178
1086,-0.71178
1087,-0.71178
1088,-1.2896
1089,-0.71178
1090,-1.2896
1091,-1.0007
1092,-1.2896
1093,-0.71178
1094,-0.71178
1095,-0.71178
1096,-0.42975
1097,-0.71178
1098,-0.42975
1099,-0.71178
1100,-0.42975
1101,-0.42975
1102,-0.71178
1103,-0.71178
1104,-0.71178
1105,-1.0007
1106,-1.0007
1107,-1.0007
1108,-1.0007
1109,-1.0007
1110,-0.71178
1111,-0.71178
1112,-1.0007
1113,-1.0007
1114,-0.71178
1115,-1.0007
1116,-0.42975
1117,-0.42975
1118,-0.71178
1119,-0.71178
1120,-0.42975
1121,-0.71178
1122,-0.71178
1123,-0.71178
1124,-0.71178
1125,-0.71178
1126,-0.42975
1127,-0.71178
1128,-0.71178
1129,-0.42975
1130,-0.14084
1131,-0.71178
1132,-0.42975
1133,-0.14084
1134,-0.14084
1135,-0.14084
1136,-0.14084
1137,-0.14084
1138,-0.14084
1139,-0.14084
1140,-0.14084
1141,-0.14084
1142,0.14807
1143,-0.14084
1144,-0.14084
1145,-0.14084
1146,0.14807
1147,-0.14084
1148,0.14807
1149,0.43011
1150,0.43011
1151,0.43011
1152,0.43011
1153,0.14807
1154,0.14807
1155,0.43011
1156,0.14807
1157,0.14807
1158,0.43011
1159,0.14807
1160,-0.14084
1161,0.14807
1162,-0.14084
1163,0.14807
1164,0.14807
1165,-0.14084
1166,0.14807
1167,0.14807
1168,0.14807
1169,0.43011
1170,0.14807
1171,0.14807
1172,0.43011
1173,0.14807
1174,0.14807
1175,-0.14084
1176,-0.14084
1177,-0.42975
1178,-0.14084
1179,-0.42975
1180,-0.42975
1181,-0.42975
1182,-0.42975
1183,-0.42975
1184,-0.14084
1185,-0.71178
1186,-0.71178
1187,-0.14084
1188,-0.14084
1189,-0.14084
1190,0.14807
1191,-0.14084
1192,-0.14084
1193,0.14807
1194,-0.14084
1195,0.14807
1196,0.14807
1197,-0.14084
1198,-0.14084
1199,-0.42975
1200,-0.14084
1201,-0.14084
1202,-0.42975
1203,-0.42975
1204,-0.42975
1205,-0.42975
1206,-0.42975
1207,-0.42975
1208,-0.42975
1209,-0.42975
1210,-0.42975
1211,-0.42975
1212,-0.14084
1213,-0.71178
1214,-0.71178
1215,-0.42975
1216,-0.71178
1217,-0.42975
1218,-0.42975
1219,-0.42975
1220,-0.42975
1221,-0.42975
1222,-0.71178
1223,-0.71178
1224,-0.14084
1225,-0.71178
1226,-0.71178
1227,-0.71178
1228,-0.42975
1229,-0.71178
1230,-0.71178
1231,-0.42975
1232,-0.71178
1233,-0.42975
1234,-0.42975
1235,-0.14084
1236,-0.42975
1237,-0.71178
1238,-0.42975
1239,-0.71178
1240,-0.42975
1241,-0.71178
1242,-0.42975
1243,-0.42975
1244,-0.42975
1245,-0.42975
1246,-0.42975
1247,-0.14084
1248,-0.42975
1249,-0.42975
1250,-0.42975
1251,-0.14084
1252,-0.42975
1253,-0.71178
1254,-0.71178
1255,-0.71178
1256,-0.71178
1257,-1.2896
1258,-0.71178
1259,-0.71178
1260,-1.2896
1261,-1.2896
1262,-0.71178
1263,-0.71178
1264,-1.0007
1265,-0.71178
1266,-0.71178
1267,-0.71178
1268,-0.71178
1269,-0.71178
1270,-1.0007
1271,-1.2896
1272,-1.2896
1273,-1.2896
1274,-1.2896
1275,-1.2896
1276,-1.0007
1277,-1.2896
1278,-1.2896
1279,-1.2896
1280,-1.2896
1281,-1.2896
1282,-1.0007
1283,-1.0007
1284,-1.0007
1285,-1.2896
1286,-0.71178
1287,-1.0007
1288,-1.0007
1289,-1.0007
1290,-1.0007
1291,-0.71178
1292,-0.42975
1293,-0.71178
1294,-0.71178
1295,-1.0007
1296,-0.42975
1297,-1.0007
1298,-0.71178
1299,-1.0007
1300,-0.71178
1301,-0.42975
1302,-0.42975
1303,-0.42975
1304,-0.14084
1305,-0.14084
1306,-0.42975
1307,-0.14084
1308,-0.14084
1309,-0.42975
1310,-0.42975
1311,-0.42975
1312,-0.14084
1313,-0.14084
1314,-0.14084
1315,-0.42975
1316,-0.42975
1317,-0.42975
1318,-0.42975
1319,-0.42975
1320,-0.71178
1321,-0.71178
1322,-1.0007
1323,-1.0007
1324,-1.0007
1325,-1.0007
1326,-0.71178
1327,-1.2896
1328,-1.0007
1329,-0.71178
1330,-0.14084
1331,-0.42975
1332,-0.42975
1333,-0.42975
1334,-0.71178
1335,-0.42975
1336,-0.42975
1337,-0.14084
1338,-0.71178
1339,-0.71178
1340,-0.71178
1341,-1.0007
1342,-0.42975
1343,-1.0007
1344,-0.71178
1345,-0.71178
1346,-1.2896
1347,-1.0007
1348,-1.0007
1349,-1.2896
1350,-1.2896
1351,-1.0007
1352,-1.2896
1353,-1.0007
1354,-1.2896
1355,-1.2896
1356,-1.2896
1357,-1.0007
1358,-1.0007
1359,-1.2896
1360,-1.0007
1361,-1.0007
1362,-1.2896
1363,-1.0007
1364,-1.0007
1365,-1.0007
1366,-1.0007
1367,-1.2896
1368,-1.2896
1369,-1.0007
1370,-1.2896
1371,-1.0007
1372,-1.2896
1373,-1.0007
1374,-1.0007
1375,-0.71178
1376,-1.0007
1377,-1.0007
1378,-0.71178
1379,-0.71178
1380,-0.71178
1381,-1.0007
1382,-0.71178
1383,-0.71178
1384,-0.71178
1385,-0.14084
1386,-0.14084
1387,-0.14084
1388,-0.14084
1389,-0.42975
1390,-0.71178
1391,-0.42975
1392,-0.42975
1393,-0.71178
1394,-0.71178
1395,-0.42975
1396,-0.71178
1397,-0.71178
1398,-0.42975
1399,-1.0007
1400,-0.71178
1401,-0.71178
1402,-0.71178
1403,-0.71178
1404,-0.71178
1405,-0.71178
1406,-1.2896
1407,-1.0007
1408,-1.0007
1409,-1.0007
1410,-1.0007
1411,-1.2896
1412,-1.0007
1413,-1.5716
1414,-1.5716
1415,-1.2896
1416,-1.2896
1417,-1.2896
1418,-1.5716
1419,-1.2896
1420,-1.0007
1421,-1.0007
1422,-1.2896
1423,-1.2896
1424,-1.0007
1425,-0.71178
1426,-0.71178
1427,-1.0007
1428,-1.0007
1429,-1.0007
1430,-1.0007
1431,-1.2896
1432,-1.0007
1433,-0.71178
1434,-0.71178
1435,-0.71178
1436,-0.71178
1437,-0.42975
1438,-0.14084
1439,-0.42975
1440,-0.14084
1441,-0.14084
1442,0.14807
1443,-0.14084
1444,-0.14084
1445,-0.14084
1446,-0.42975
1447,-0.14084
1448,-0.71178
1449,-0.71178
1450,-0.42975
1451,-0.71178
1452,-0.14084
1453,-0.71178
1454,-0.42975
1455,-0.14084
1456,-0.14084
1457,-0.14084
1458,-0.14084
1459,-0.42975
1460,-0.14084
1461,-0.14084
1462,-0.14084
1463,-0.14084
1464,-0.14084
1465,0.14807
1466,-0.14084
1467,-0.14084
1468,-0.14084
1469,-0.14084
1470,-0.14084
1471,-0.14084
1472,-0.14084
1473,-0.14084
1474,0.14807
1475,-0.14084
1476,-0.14084
1477,-0.14084
1478,0.14807
1479,0.14807
1480,0.14807
1481,0.14807
1482,0.14807
1483,0.14807
1484,0.14807
1485,-0.14084
1486,0.43011
1487,0.14807
1488,0.14807
1489,0.14807
1490,0.14807
1491,0.43011
1492,0.43011
1493,0.43011
1494,0.43011
1495,0.43011
1496,-0.14084
1497,0.14807
1498,-0.14084
1499,0.14807
1500,0.14807
1501,0.14807
1502,-0.14084
1503,0.14807
1504,0.14807
1505,0.14807
1506,-0.14084
1507,0.14807
1508,0.14807
1509,-0.14084
1510,-0.14084
1511,-0.14084
1512,-0.14084
1513,-0.42975
1514,-0.42975
1515,-1.0007
1516,-0.71178
1517,-0.71178
1518,-1.0007
1519,-0.71178
1520,-0.71178
1521,-0.71178
1522,-0.71178
1523,-1.0007
1524,-1.0007
1525,-1.2896
1526,-0.14084
1527,-0.42975
1528,-0.71178
1529,-0.42975
1530,-0.42975
1531,-0.71178
1532,-0.14084
1533,-0.42975
1534,-1.0007
1535,-0.71178
1536,-0.71178
1537,-0.71178
1538,-0.71178
1539,-0.71178
1540,-0.71178
1541,-0.71178
1542,-0.71178
1543,-0.71178
1544,-0.42975
1545,-0.42975
1546,-0.42975
1547,-0.14084
1548,-0.14084
1549,0.14807
1550,-0.14084
1551,0.14807
1552,-0.14084
1553,-0.14084
1554,0.14807
1555,-0.14084
1556,-0.14084
1557,-0.14084
1558,-0.14084
1559,-0.14084
1560,-0.42975
1561,-0.14084
1562,-0.14084
1563,-0.14084
1564,-0.14084
1565,-0.14084
1566,-0.42975
1567,-0.14084
1568,-0.14084
1569,-0.14084
1570,-0.14084
1571,-0.42975
1572,-0.42975
1573,-0.14084
1574,-0.14084
1575,-0.14084
1576,-0.14084
1577,-0.42975
1578,-0.42975
1579,-0.14084
1580,-0.14084
1581,-0.71178
1582,-0.71178
1583,-0.71178
1584,-0.71178
1585,-0.42975
1586,-0.71178
1587,-0.71178
1588,-1.0007
1589,-1.2896
1590,-1.0007
1591,-1.0007
1592,-1.2896
1593,-1.0007
1594,-1.2896
1595,-1.2896
1596,-0.71178
1597,-1.2896
1598,-0.71178
1599,-1.0007
1600,-1.0007
1601,-1.0007
1602,-1.0007
1603,-1.2896
1604,-1.2896
1605,-1.0007
1606,-1.2896
1607,-1.0007
1608,-1.0007
1609,-1.0007
1610,-0.71178
1611,-1.0007
1612,-0.42975
1613,-0.71178
1614,-0.42975
1615,-0.42975
1616,-0.42975
1617,-0.71178
1618,-0.14084
1619,-0.42975
1620,-0.42975
1621,-0.42975
1622,-0.42975
1623,-0.42975
1624,-0.42975
1625,-0.42975
1626,-0.42975
1627,-0.42975
1628,-0.42975
1629,0.14807
1630,-0.71178
1631,-0.14084
1632,-0.42975
1633,-0.42975
1634,-0.71178
1635,-0.71178
1636,-0.71178
1637,-1.0007
1638,-0.71178
1639,-0.71178
1640,-1.0007
1641,-0.71178
1642,-0.71178
1643,-0.71178
1644,-0.71178
1645,-0.71178
1646,-0.71178
1647,-0.71178
1648,-0.71178
1649,-0.71178
1650,-0.71178
1651,-1.2896
1652,-0.71178
1653,-1.5716
1654,-1.5716
1655,-1.2896
1656,-1.2896
1657,-1.2896
1658,-1.2896
1659,-1.2896
1660,-1.2896
1661,-1.2896
1662,-1.5716
1663,-1.2896
1664,-1.2896
1665,-1.2896
1666,-1.5716
1667,-1.2896
1668,-1.5716
1669,-1.5716
1670,-1.2896
1671,-1.5716
1672,-1.0007
